origen_stop,dest_stop,lines
4849,4593,"['00271', '027X0']"
4593,4696,['00271']
4696,7490,['00271']
7490,4595,['00271']
4595,4699,['00271']
4596,4563,"['00270', '00150', '027X1']"
4563,1218,"['00270', '00150', '00421', '00431', '027X1']"
1218,1258,"['00270', '027X1']"
1258,1259,"['00270', '027X1']"
1259,1260,"['00270', '027X1']"
1260,6130,['00270']
6130,1262,['00270']
1262,4692,"['00270', '027X1']"
4692,1245,"['00270', '027X1']"
1245,4693,"['00270', '027X1']"
4693,1254,"['00270', '027X1']"
1254,1256,"['00270', '027X1']"
1256,1247,['00270']
1247,1248,"['00270', '027X1']"
1248,1273,"['00270', '027X1']"
1273,1274,"['00270', '00150', '00421', '00431', '027X1']"
1274,1275,"['00270', '00150', '00421', '00431', '027X1']"
1275,1277,"['00270', '00431']"
1277,1219,"['00270', '027A1', '00150', '00421', '00431', '027B1', '027X1']"
1219,1220,"['00270', '027A1', '00150', '00421', '00431', '027B1', '027X1']"
1220,1221,"['00270', '027A1', '00150', '00421', '00431', '027B1', '027X1', '01041']"
1221,1255,['00270']
1255,664,['00270']
664,4694,['00270']
4694,665,['00270']
665,1249,['00270']
1249,666,['00270']
666,667,"['00270', '027A1', '00150', '00421', '00431', '027B1', '014C0']"
667,668,"['00270', '027A1', '00150', '00421', '00140', '00431', '027B1', '014C0']"
668,614,"['00270', '027A1', '00150', '00421', '00140', '00431', '027B1', '014C0']"
614,615,"['00270', '027A1', '00150', '01301', '00421', '00140', '029A1', '00431', '00321', '027B1', '031B1', '031A1', '014C0']"
615,616,"['00270', '027A1', '00150', '01301', '00421', '00140', '029A1', '00311', '027B1', '031B1', '031A1', '014C0']"
616,617,"['00270', '027A1', '00150', '01301', '00140', '029A1', '00431', '00311', '00321', '027B1', '031B1', '00531', '031A1', '014C0']"
617,618,"['00270', '027A1', '00150', '01301', '00421', '00140', '029A1', '00431', '00311', '00321', '027B1', '031B1', '00531', '031A1', '014C0']"
618,619,"['00270', '027A1', '00150', '01301', '00421', '00140', '029A1', '00431', '00311', '00321', '027B1', '031B1', '00531', '031A1', '014C0']"
619,675,"['00270', '027A1', '00421', '029A1', '00431', '00311', '00321', '027B1', '031B1', '00531', '031A1', '014C0']"
675,4595,['00270']
4595,1500,['00270']
1500,302,"['00270', '01510']"
302,4495,"['00270', '01510']"
4495,4522,"['00270', '01510']"
4522,1934,"['00270', '077A0', '056A0', '01510']"
1934,2310,"['00270', '077A0', '056A0', '01510', '01500']"
2310,2311,"['00270', '077A0', '056A0', '01510', '01500']"
2311,2312,"['00270', '077A0', '056A0', '01510']"
2312,2313,"['00270', '077A0', '056A0']"
